Domain (# inst),%solve(p),time(p),size(p),,%solve,time,size
acrobatics(8),1,20.1,127,,1,15.26,127
beam-walk(11),1,27.6,1488,,1,23.48,1488
blocks-1(15),1,0.2,15,,1,0.07,15
blocks-2(15),1,0.9,33,,1,0.39,33
doors(15),0.8,3.2,22,,0.8,1.51,22
earth_obs-1(20),1,0.4,62,,1,0.16,62
earth_obs-2(20),1,1.8,234,,1,0.77,234
elevators-1(10),1,0.2,29,,1,0.07,29
elevators-2(5),1,1.1,81,,1,0.45,81
faults-1(20),1,0.1,9,,1,0.01,9
faults-2(20),1,0.2,16,,1,0.05,16
faults-3(15),1,0.2,20,,1,0.08,20
first_resp-1(30),0.66,0.1,13,,0.63,0.02,10
first_resp-2(40),0.82,1.6,17,,0.82,1.15,17
first_resp-3(30),0.76,0.3,24,,0.76,0.12,24
islands-1(30),0.76,167,5,,0.76,96.33,5
islands-2(30),0.26,256.7,11,,0.26,141.63,11
miner-1(30),0.26,556.6,19,,0.36,576.09,20
miner-2(21),0.06,721.3,25,,0.09,327.76,25
spiky-tireworld(11),0,,,,0.09,66.14,23
t_tireworld-1(20),1,5.7,125,,1,2.7,125
t_tireworld-2(20),1,374.6,365,,1,216.93,365
tireworld(15),0.8,0.1,10,,0.8,0.04,10
ttire_truck-1(24),0.37,185.1,18,,0.37,200.17,18
ttire_truck-2(25),0.32,500,27,,0.32,476.25,27
ttire_truck-3(25),0.16,384.5,21,,0.16,369.23,21
zenotravel(15),1,5.1,54,,1,1.92,54
