Atoms,Actions,Solve,Time,Size
11,28,1,0.006420,4
22,54,1,0.007366,4
31,80,1,0.009006,4
40,106,1,0.012162,4
49,132,1,0.017098,4
58,158,1,0.022936,4
67,184,1,0.028510,4
76,210,1,0.035495,4
85,236,1,0.043506,4
104,262,1,0.055798,4
114,288,1,0.063389,4
124,314,1,0.072885,4
21,66,1,0.017965,6
42,134,1,0.034183,6
61,202,1,0.061460,6
80,270,1,0.106414,6
99,338,1,0.168740,6
118,406,1,0.254927,6
137,474,1,0.342466,6
156,542,1,0.457394,6
175,610,1,0.596545,6
194,678,1,0.736042,6
213,746,1,0.917390,6
232,814,1,1.062402,6
35,120,1,0.048703,8
70,250,1,0.321191,8
103,380,1,0.335175,8
136,510,1,0.826118,8
169,640,1,1.028707,8
202,770,1,1.602568,8
