Atoms,Actions,Solve,Time,Size
95,188,1,15.238856,18
138,269,1,2.323494,15
209,410,1,2.745416,14
383,771,1,13.584703,17
251,534,1,26.602427,19
439,918,1,41.253868,20
474,981,1,8.023436,18
515,1059,1,19.271106,19
518,1050,1,17.324719,17
426,862,1,16.728840,19
364,743,1,7.200511,17
399,810,1,7.831416,17
584,1219,1,35.192590,19
554,1134,1,33.969434,20
923,1895,1,16.996501,16
837,1704,1,73.926555,18
566,1172,1,20.117493,19
879,1826,1,55.989236,21
811,1660,1,39.914207,19
635,1331,1,119.452827,23
707,1454,1,381.105252,26
763,1588,1,79.314051,22
1044,2133,1,200.678677,22
643,1340,1,48.884030,20
755,1562,1,37.368686,19
867,1787,1,103.480332,22
773,1593,1,118.156457,22
827,1728,1,27.560503,19
858,1748,1,24.395749,17
