Atoms,Actions,Solve,Time,Size
48,80,1,707.411457,17
48,80,1,105.646770,15
76,140,1,72.763134,15
76,140,1,488.133759,17
90,170,1,657.510411,17
90,170,1,64.455525,15
104,200,1,109.422738,15
104,200,1,1646.522839,17
32,40,1,2.316711,13
32,40,1,36.028844,15
56,94,1,20.852156,15
56,94,1,3.149713,13
88,166,1,5.062824,13
88,166,1,22.043299,15
88,166,1,199.175146,17
104,202,1,23.735095,15
104,202,1,174.415132,17
120,238,1,142.413987,17
120,238,1,30.581522,15
120,238,1,455.218096,17
56,96,1,106.632767,16
56,96,1,457.249542,18
88,168,1,595.691714,18
88,168,1,1153.842571,18
88,168,1,3885.093707,20
