Domain (# inst),%solve,time,size
acrobatics(8),1.0,15.2625,127.5
beam-walk(11),1.0,23.485454545454544,1488.7272727272727
blocks-1(15),1.0,0.07733333333333332,15.133333333333333
blocks-2(15),1.0,0.3906666666666668,33.666666666666664
doors(15),0.8,1.5133333333333334,22.0
earth_obs-1(20),1.0,0.16999999999999998,62.5
earth_obs-2(20),1.0,0.773,234.4
elevators-1(10),1.0,0.072,29.1
elevators-2(5),1.0,0.45600000000000007,81.4
faults-1(20),1.0,0.019999999999999997,9.8
faults-2(20),1.0,0.05800000000000001,16.65
faults-3(15),1.0,0.08666666666666666,20.4
first_resp-1(30),0.6333333333333333,0.02,10.736842105263158
first_resp-2(40),0.825,1.1515151515151516,17.87878787878788
first_resp-3(30),0.7666666666666667,0.12434782608695653,24.434782608695652
islands-1(30),0.7666666666666667,96.3391304347826,5.391304347826087
islands-2(30),0.26666666666666666,141.63,11.0
miner-1(30),0.36666666666666664,576.0927272727272,20.818181818181817
miner-2(21),0.09523809523809523,327.76,25.0
spiky-tireworld(11),0.09090909090909091,66.14,23.0
t_tireworld-1(20),1.0,2.7020000000000004,125.0
t_tireworld-2(20),1.0,216.939,365.0
tireworld(15),0.8,0.04666666666666667,10.083333333333334
ttire_truck-1(24),0.375,200.17555555555555,18.77777777777778
ttire_truck-2(25),0.32,476.25,27.125
ttire_truck-3(25),0.16,369.235,21.0
zenotravel(15),1.0,1.9240000000000002,54.6
