Domain (# inst),paper,test
acrobatics(8),1,1
beam-walk(11),1,1
blocks-1(15),1,1
blocks-2(15),1,1
doors(15),0.8,0.8
earth_obs-1(20),1,1
earth_obs-2(20),1,1
elevators-1(10),1,1
elevators-2(5),1,1
faults-1(20),1,1
faults-2(20),1,1
faults-3(15),1,1
first_resp-1(30),0.66,0.633333333
first_resp-2(40),0.82,0.825
first_resp-3(30),0.76,0.766666667
islands-1(30),0.76,0.766666667
islands-2(30),0.26,0.266666667
miner-1(30),0.26,0.366666667
miner-2(21),0.06,0.095238095
spiky-tireworld(11),0,0.090909091
t_tireworld-1(20),1,1
t_tireworld-2(20),1,1
tireworld(15),0.8,0.8
ttire_truck-1(24),0.37,0.375
ttire_truck-2(25),0.32,0.32
ttire_truck-3(25),0.16,0.16
zenotravel(15),1,1
