Domain (# inst),#at,#acts,%solve,time,size
acrobatics(8),67.5,623.5,0.375,5.434398333333333,9.333333333333334
beam-walk(11),746.3636363636364,2231.090909090909,0.18181818181818182,1.721837,12.0
blocks-1(15),78.66666666666667,1350.0,0.6666666666666666,9.7919088,11.0
blocks-2(15),238.66666666666666,8116.666666666667,0.0,,
doors(15),48.0,69.0,0.6666666666666666,479.3375043,14.0
earth_obs-1(20),46.3,87.7,0.25,5.084965,9.8
earth_obs-2(20),110.1,224.3,0.0,,
elevators-1(10),64.0,58.8,0.7,268.08564642857147,15.857142857142858
elevators-2(5),123.0,116.4,0.0,,
faults-1(20),43.65,35.5,1.0,10.21969815,9.8
faults-2(20),84.55,92.5,0.4,683.742147625,14.875
faults-3(15),129.6,174.0,0.0,,
first_resp-1(30),37.833333333333336,55.03333333333333,0.5666666666666667,144.1576884117647,9.235294117647058
islands-1(30),100.8,333.4,1.0,0.3173121,5.6
islands-2(30),388.96666666666664,1588.6,1.0,45.21131990000001,10.4
miner-1(30),587.5333333333333,1209.0333333333333,1.0,87.68739636666668,19.066666666666666
miner-2(21),1410.6190476190477,2920.5714285714284,1.0,448.4043232380952,22.80952380952381
spiky-tireworld(11),243.45454545454547,462.54545454545456,0.45454545454545453,2193.7441468,23.0
tireworld(15),63.93333333333333,304.0,0.8,0.853876,5.583333333333333
ttire_truck-1(24),64.08333333333333,111.75,1.0,27.134432291666666,11.708333333333334
ttire_truck-2(25),80.8,150.4,0.96,574.1604005,15.833333333333334
ttire_truck-3(25),101.68,198.72,0.76,616.1636680526316,16.894736842105264
