Atoms,Actions,Solve,Time,Size
235,900,1,2.639474,8
268,1030,1,3.299040,8
301,1160,1,4.438375,8
334,1290,1,5.373424,8
367,1420,1,6.802967,8
400,1550,1,8.186459,8
53,190,1,0.143312,10
106,402,1,6.536299,10
157,614,1,2.949424,10
208,826,1,8.280061,10
259,1038,1,8.696083,10
310,1250,1,12.920620,10
361,1462,1,19.522981,10
412,1674,1,17.081866,10
463,1886,1,19.902553,10
514,2098,1,29.548248,10
565,2310,1,33.166316,10
616,2522,1,42.313659,10
75,276,1,0.359443,12
150,590,1,25.006603,12
223,904,1,111.668398,12
296,1218,1,35.987168,12
369,1532,1,43.417159,12
442,1846,1,54.254348,12
515,2160,1,68.517227,12
588,2474,1,111.902501,12
661,2788,1,121.345676,12
734,3102,1,154.819311,12
807,3416,1,232.488841,12
880,3730,1,164.771761,12
