Atoms,Actions,Solve,Time,Size
711,1457,1,48.508044,19
1274,2632,1,188.204077,24
1129,2351,1,226.332235,22
932,1908,1,56.638733,20
1220,2535,1,131.231927,18
1005,2039,1,123.028932,19
1001,2057,1,98.942250,21
1566,3212,1,261.026391,22
1524,3136,1,377.584858,24
1167,2416,1,858.512321,23
1163,2399,1,323.527026,22
1212,2517,1,142.274143,21
1407,2915,1,180.857771,22
1157,2383,1,222.415626,22
1987,4109,1,1022.022159,28
1561,3271,1,1196.909007,26
1890,3928,1,619.449985,25
1878,3886,1,1021.335637,24
1557,3259,1,1210.252951,28
1731,3604,1,363.842711,24
2551,5318,1,743.594004,25
