Atoms,Actions,Solve,Time,Size
48,80,1,2057.700852,17
48,80,1,70.309857,15
76,140,1,136.872141,15
76,140,1,766.049261,17
90,170,1,827.267403,17
90,170,1,290.682897,15
104,200,1,223.171774,15
104,200,1,3197.344401,17
32,40,1,2.592003,13
32,40,1,66.916338,15
56,94,1,27.754077,15
56,94,1,7.402850,13
88,166,1,6.131397,13
88,166,1,43.646771,15
88,166,1,183.961141,17
104,202,1,51.950031,15
104,202,1,153.873517,17
120,238,1,460.242290,17
120,238,1,50.240248,15
120,238,1,504.290526,17
56,96,1,227.319109,16
56,96,1,1034.515445,18
88,168,1,1005.760454,18
88,168,1,2383.854829,18
88,168,0,,
