Id,Solve,Time,Size
01,1,0.02,4
02,1,0.0,4
03,1,0.02,4
04,1,0.0,4
05,1,0.0,4
06,1,0.0,4
07,1,0.0,4
08,1,0.02,4
09,1,0.02,4
10,1,0.02,4
11,1,0.02,4
12,1,0.02,4
13,1,0.02,6
14,1,0.02,6
15,1,0.12,6
16,1,2.5,6
17,1,68.5,6
18,1,1609.24,6
19,0,0.0,0
20,0,0.0,0
21,0,0.0,0
22,0,0.0,0
23,0,0.0,0
24,0,0.0,0
25,1,0.02,8
26,1,0.06,8
27,1,0.5,8
28,1,23.12,8
29,1,996.32,8
30,0,0.0,0
31,0,0.0,0
32,0,0.0,0
33,0,0.0,0
34,0,0.0,0
35,0,0.0,0
36,0,0.0,0
37,1,0.04,10
38,1,0.08,10
39,1,3.84,10
40,1,264.04,10
41,0,0.0,0
42,0,0.0,0
43,0,0.0,0
44,0,0.0,0
45,0,0.0,0
46,0,0.0,0
47,0,0.0,0
48,0,0.0,0
49,1,0.06,12
50,1,0.22,12
51,1,12.18,12
52,1,1198.4,12
53,0,0.0,0
54,0,0.0,0
55,0,0.0,0
56,0,0.0,0
57,0,0.0,0
58,0,0.0,0
59,0,0.0,0
60,0,0.0,0
