Id,Solve,Time,Size
01,1,0.6,22
02,1,0.14,15
03,1,1228.9,16
04,0,1800.02,8
05,1,23.52,19
07,0,1800.02,6
08,0,1800.04,9
09,0,1800.02,8
10,1,820.88,18
11,0,1800.02,8
12,1,1294.1,19
13,0,1800.04,8
14,0,1800.04,12
15,0,1800.02,9
16,0,1800.06,14
17,0,1800.04,12
18,1,22.74,20
19,0,1800.1,10
20,0,1800.1,7
21,1,513.42,25
22,0,1800.06,12
23,0,1800.06,9
24,0,1800.06,6
25,1,19.42,23
26,0,1800.1,6
27,0,1800.12,11
28,0,1800.04,9
29,0,1800.06,9
30,0,1800.06,11
31,1,67.02,21
32,0,1800.1,10
33,1,816.26,29
34,0,1800.14,8
35,0,1800.1,8
36,0,1800.12,10
37,0,1800.12,11
38,0,1800.14,10
39,0,1800.24,12
40,0,1800.08,9
41,0,1800.18,14
42,0,1800.2,11
43,0,1800.14,8
44,0,1800.1,10
45,0,1807.04,17
46,0,1800.18,9
47,0,1800.22,10
48,0,1800.2,12
49,0,1800.16,11
50,0,1800.22,12
51,0,1800.36,12
