Id,Solve,Time,Size
01,1,16.5,15
02,1,6.76,9
03,1,228.18,32
04,1,119.78,15
05,0,1813.48,4
06,0,1817.9,4
07,0,1815.96,4
08,0,1812.8,4
09,0,1812.08,4
11,0,1815.24,4
12,1,266.22,34
13,0,1821.46,4
14,0,1812.26,4
15,0,1814.56,4
16,1,7.74,10
17,1,25.2,16
18,1,164.02,16
19,1,1350.56,22
20,0,1821.3,5
21,0,1813.68,5
22,0,1813.38,5
23,0,1815.78,5
24,0,1812.84,5
25,0,1817.16,5
26,0,1811.58,94
27,1,287.56,36
28,0,1812.28,6
29,0,1810.98,5
30,0,1812.16,5
31,0,1813.38,6
32,0,1820.14,6
33,0,1815.46,5
34,1,21.26,17
35,1,54.72,23
36,1,1286.26,23
37,1,165.74,17
38,0,1813.56,6
39,0,1811.12,6
40,0,1820.02,6
41,0,1816.46,6
42,0,1813.46,6
43,0,1817.96,6
44,0,1813.94,6
45,0,1820.24,6
46,1,308.38,36
47,1,319.4,43
48,0,1821.92,6
49,0,1814.76,6
50,0,1819.9,6
51,0,1813.04,6
52,0,1818.38,6
53,0,1819.26,6
54,0,1820.68,7
55,0,1818.68,7
56,0,1812.02,6
57,0,1815.96,6
58,1,22.42,18
59,1,48.88,24
60,1,1457.8,24
61,1,233.9,18
62,0,1811.18,7
63,0,1820.72,7
64,0,1812.88,7
65,0,1820.86,7
66,0,1817.8,7
67,0,1800.0,92
68,0,1807.32,7
69,0,1800.0,8
70,0,1800.0,7
71,0,1817.3,7
72,0,1817.96,7
73,0,1821.88,7
74,0,1814.44,7
75,0,1811.28,8
