Id,Atoms,Actions,Solve,Time,Size
01,47,425,1,1.421144,9
02,47,425,1,0.535761,8
03,47,425,1,2.426805,10
04,47,425,1,109.017214,14
05,47,425,1,7.009213,12
06,47,425,1,4.275334,11
07,47,425,1,49.178923,13
08,47,425,1,88.797424,13
09,47,425,1,0.765363,9
10,47,425,1,3.554963,11
11,142,3200,0,9294.148164,16
12,142,3200,0,2778.012336,15
13,142,3200,0,4348.088403,15
14,142,3200,0,4617.431734,15
15,142,3200,0,2353.695605,15
16,142,3200,0,5933.674195,16
17,142,3200,0,6096.864903,16
18,142,3200,0,3250.029938,15
19,142,3200,0,7289.244878,16
20,142,3200,0,2995.918716,15
21,287,10575,0,329.212269,9
22,287,10575,0,285.576068,10
23,287,10575,0,334.323697,8
24,287,10575,0,245.883329,7
25,287,10575,0,394.747355,10
26,287,10575,0,412.568014,9
27,287,10575,0,358.915234,8
28,287,10575,0,295.857483,8
29,287,10575,0,350.354518,9
30,287,10575,0,379.707085,9
