Id,Atoms,Actions,Solve,Time,Size
01,21,33,0,7269.445888,19
02,17,41,1,0.01882,6
03,29,53,0,8541.172469,20
04,53,89,0,5866.630379,20
05,47,83,0,5285.864852,20
06,24,40,0,4417.045186,21
07,20,36,1,57.026701,17
08,22,54,1,0.022774,6
09,42,74,0,6605.763402,20
10,74,122,0,11356.661529,21
11,17,37,1,0.261751,7
12,47,87,0,5906.086241,22
13,53,93,0,8061.368452,20
14,49,109,0,4242.906346,23
15,91,171,0,3709.446236,20
16,22,46,1,0.728694,13
17,64,112,0,5559.148647,21
18,68,140,0,4397.626628,21
19,72,144,0,5997.589529,22
20,94,190,0,4495.970299,22
21,35,63,0,4058.885171,24
22,67,123,0,9974.985045,21
23,95,179,0,4449.36645,20
24,103,215,0,4340.122542,21
25,101,213,0,4059.745778,21
26,44,76,0,5924.489915,22
27,56,120,0,3857.2015,22
28,102,198,0,10255.479801,21
29,80,208,0,3627.668804,28
30,142,302,0,6549.955289,23
31,53,125,0,3765.474944,28
32,167,275,0,3874.941828,20
33,115,223,0,3619.747034,19
34,129,273,0,6170.738675,20
35,175,355,0,5666.860052,21
36,64,144,0,3737.975106,22
37,148,268,0,5230.744804,20
38,136,296,0,4700.814923,21
39,134,334,0,3987.293071,24
40,256,496,0,19845.657071,20
