Id,Atoms,Actions,Solve,Time,Size
01,11,4,1,0.088553,4
02,17,7,1,0.036044,6
03,26,13,1,0.023052,5
04,22,10,1,0.329486,8
05,30,19,1,0.222713,7
06,41,28,1,0.103339,7
07,27,13,1,0.300681,10
08,36,25,1,0.400752,9
09,45,37,1,0.48581,9
10,58,49,1,0.625898,9
11,32,16,1,2.758177,12
12,42,31,1,3.620148,11
13,52,46,1,5.304561,11
14,62,61,1,4.247307,11
15,77,76,1,4.977693,11
16,37,19,1,35.696378,14
17,48,37,1,73.213847,13
18,59,55,1,77.838577,13
19,70,73,1,112.396363,13
20,81,91,1,143.941748,13
21,98,109,1,149.079538,13
22,42,22,1,955.163771,16
23,54,43,1,1070.583313,15
24,66,64,1,2236.814216,15
25,78,85,1,1805.619009,15
26,90,106,1,2662.509043,15
27,102,127,1,2459.789092,15
28,121,148,1,2596.868538,15
29,47,25,0,14225.821573,16
30,60,49,0,5611.842079,15
31,73,73,0,22838.675651,15
32,86,97,0,21866.649549,15
33,99,121,0,3952.622945,14
34,112,145,0,9136.702945,15
35,125,169,0,21210.475222,15
36,146,193,0,4236.700011,14
37,52,28,0,10959.882014,16
38,66,55,0,7036.134956,15
39,80,82,0,15508.885943,15
40,94,109,0,14077.535722,15
41,108,136,0,21051.290919,15
42,122,163,0,19691.271717,15
43,136,190,0,4241.313006,14
44,150,217,0,21452.06863,15
45,173,244,0,18432.247916,15
46,57,31,0,17035.898876,16
47,72,61,0,13326.904273,15
48,87,91,0,29887.311849,15
49,102,121,0,5579.933185,14
50,117,151,0,16639.210728,15
51,132,181,0,23247.901278,15
52,147,211,0,4226.272735,14
53,162,241,0,4393.423278,14
54,177,271,0,4136.772558,14
55,202,301,0,3953.671182,14
