Id,Atoms,Actions,Solve,Time,Size
01,14,19,1,0.071761,8
02,35,57,1,41.261246,16
03,64,113,0,4615.849307,21
04,101,187,0,8349.635628,22
05,146,279,0,3615.257396,21
06,199,389,0,7155.489684,22
07,260,517,0,3544.926145,19
08,329,663,0,4762.086423,20
09,406,827,0,4026.226222,19
10,491,1009,0,7787.536956,20
11,584,1209,0,8693.997658,20
12,685,1427,0,4794.731352,18
13,794,1663,0,3362.399086,19
14,911,1917,0,16927.171317,21
15,1036,2189,0,7319.981591,20
16,1169,2479,0,3197.502629,18
17,1310,2787,0,4415.869169,20
18,1459,3113,0,2959.760813,20
19,1616,3457,0,3738.433055,19
20,1781,3819,0,2907.542165,19
21,1954,4199,0,3904.280385,18
22,2135,4597,0,3074.58592,19
23,2324,5013,0,2849.191234,18
24,2521,5447,0,4402.294619,18
25,2726,5899,0,1829.759279,17
26,2939,6369,0,2054.127914,17
27,3160,6857,0,1704.571012,17
28,3389,7363,0,1257.3637,16
29,3626,7887,0,1146.119679,16
30,3871,8429,0,723.424877,16
31,4124,8989,0,424.922166,15
32,4385,9567,0,501.721682,15
33,4654,10163,0,299.356077,14
34,4931,10777,0,326.584751,13
35,5216,11409,0,302.57545,13
36,5509,12059,0,144.85197,12
37,5810,12727,0,110.735095,11
38,6119,13413,0,146.531084,11
39,6436,14117,0,88.37863,10
40,6761,14839,0,80.928515,9
