Atoms,Actions,Solve,Time,Size
88,168,0,,
104,204,0,,
104,204,1,1343.614893,18
104,204,1,258.819134,16
120,240,1,126.956515,16
120,240,1,999.298760,18
120,240,1,1667.836887,18
37,47,1,7.699612,14
37,47,1,29.654984,16
64,110,1,40.177774,16
64,110,1,5.437980,14
100,194,1,30.726495,16
118,236,1,69.802880,16
118,236,1,315.009242,18
136,278,1,247.533343,18
136,278,1,70.772817,16
64,112,1,1174.610713,19
64,112,0,,
100,196,1,204.306215,17
100,196,1,1325.740500,19
118,238,0,,
118,238,0,,
136,280,0,,
136,280,1,3482.853271,19
136,280,1,306.257678,17
