Atoms,Actions,Solve,Time,Size
11,28,1,0.006507,4
22,54,1,0.007425,4
31,80,1,0.009425,4
40,106,1,0.012002,4
49,132,1,0.015862,4
58,158,1,0.020468,4
67,184,1,0.027021,4
76,210,1,0.034545,4
85,236,1,0.041265,4
104,262,1,0.052505,4
114,288,1,0.063731,4
124,314,1,0.073904,4
21,66,1,0.017500,6
42,134,1,0.027989,6
61,202,1,0.057679,6
80,270,1,0.105791,6
99,338,1,0.164214,6
118,406,1,0.244977,6
137,474,1,0.340989,6
156,542,1,0.460834,6
175,610,1,0.595663,6
194,678,1,0.756429,6
213,746,1,0.930266,6
232,814,1,1.117365,6
35,120,1,0.048350,8
70,250,1,0.211197,8
103,380,1,0.351518,8
136,510,1,0.821186,8
169,640,1,1.352588,8
202,770,1,1.550168,8
