Atoms,Actions,Solve,Time,Size
95,188,1,13.968238,18
138,269,1,4.574817,15
209,410,1,2.921350,14
383,771,1,14.776694,17
251,534,1,35.592312,19
389,802,1,49.397712,18
439,918,1,61.875859,20
474,981,1,35.283765,18
515,1059,1,49.879032,19
518,1050,1,12.608338,17
426,862,1,61.863163,19
364,743,1,43.186356,17
399,810,1,23.401949,17
584,1219,1,77.404055,19
554,1134,1,77.024163,20
923,1895,1,38.746665,16
837,1704,1,72.311523,18
566,1172,1,106.768998,19
879,1826,1,144.206504,21
811,1660,1,66.179549,19
635,1331,1,200.957746,23
707,1454,1,622.136381,26
763,1588,1,110.769905,22
1044,2133,1,156.268498,22
643,1340,1,43.657102,20
755,1562,1,42.990184,19
867,1787,1,249.923485,22
773,1593,1,146.413062,22
827,1728,1,30.590129,19
858,1748,1,34.944357,17
