Domain (# inst),#at(p),#acts(p),%solve(p),time(p),size(p),,#at,#acts,%solve,time,size
doors(15),48,69,0.93,597,20,,48,69,0.66,479.3,14
faults-1(20),43,35,1,7.2,12,,43,35,1,10.2,9
islands-1(30),100,333,1,8.1,8,,100,333,1,0.3,5
islands-2(30),388,1588,0.96,496.4,12,,388,1588,1,45.2,10
miner-1(30),587,1209,1,160.6,21,,587,1209,1,87.6,19
miner-2(21),1410,2920,1,1102,25,,1410,2920,1,448.4,22
spiky-tireworld(11),256,484,0.9,911,26,,243,462,0.45,2193.7,23
tireworld(15),63,304,0.8,6.5,7,,63,304,0.8,0.8,5
ttire_truck-1(24),61,107,1,6,14,,64,111,1,27.1,11
ttire_truck-2(25),80,150,1,96.8,19,,80,150,0.96,574.1,15
ttire_truck-3(25),101,198,0.88,193.8,19,,101,198,0.76,616.1,16
