Id,Atoms,Actions,Solve,Time,Size
01,95,188,1,20.19995,18
02,138,269,1,6.298638,15
03,209,410,1,8.723151,14
04,383,771,1,61.133553,17
05,251,534,1,64.130198,19
07,439,918,1,72.625556,20
08,474,981,1,37.262724,18
09,515,1059,1,81.051952,19
10,518,1050,1,53.65288,17
11,426,862,1,113.403127,19
12,364,743,1,30.46131,17
13,399,810,1,46.81478,17
14,584,1219,1,120.170101,19
15,554,1134,1,90.678117,20
16,923,1895,1,52.617972,16
17,837,1704,1,123.80698,18
18,566,1172,1,354.734293,19
19,879,1826,1,315.404765,21
20,811,1660,1,58.667521,19
21,635,1331,1,384.994895,23
22,707,1454,1,967.241075,26
23,763,1588,1,221.54162,22
24,1044,2133,1,433.79487,22
25,643,1340,1,118.893059,20
26,755,1562,1,84.499923,19
27,867,1787,1,362.716445,22
28,773,1593,1,373.397596,22
29,827,1728,1,70.339984,19
30,858,1748,1,29.810896,17
31,711,1457,1,124.680606,19
32,1274,2632,1,527.929751,24
33,1129,2351,1,1746.918004,22
34,932,1908,1,317.111731,20
35,1220,2535,1,183.682512,18
36,1005,2039,1,142.855949,19
37,1001,2057,1,318.317078,21
38,1566,3212,1,568.898992,22
39,1524,3136,1,826.11152,24
40,1167,2416,1,903.361904,23
41,1163,2399,1,595.690957,22
42,1212,2517,1,635.556493,21
43,1407,2915,1,1222.02957,22
44,1157,2383,1,295.697246,22
45,1987,4109,0
46,1561,3271,1,1491.955493,26
47,1890,3928,1,1399.436933,25
48,1878,3886,0
49,1557,3259,0
50,1731,3604,1,876.65614,24
51,2551,5318,0
