Id,Atoms,Actions,Solve,Time,Size
01,22,26,1,1.627836,10
02,22,26,1,0.183791,9
03,40,62,1,0.429567,9
04,40,62,1,4.64945,11
05,64,110,1,2.127887,11
06,64,110,1,0.44415,9
07,76,134,1,0.35973,9
08,76,134,1,3.48739,11
09,88,158,1,7.859885,11
11,88,158,1,0.307273,9
12,40,64,1,121.074416,14
13,64,112,1,451.730504,14
14,76,136,1,224.565897,14
15,88,160,1,321.387466,14
16,27,33,1,0.471978,10
17,27,33,1,4.353852,12
18,48,78,1,4.120183,12
19,48,78,1,19.008228,14
20,76,138,1,59.605306,14
21,76,138,1,6.674423,12
22,90,168,1,5.409437,12
23,90,168,1,101.4154,14
24,104,198,1,111.936387,14
25,104,198,1,8.719979,12
26,48,80,1,2430.373185,17
27,48,80,1,235.790314,15
28,76,140,1,469.404775,15
29,76,140,1,2105.488331,17
30,90,170,1,4117.356153,17
31,90,170,1,277.279676,15
32,104,200,1,591.570539,15
33,104,200,1,9538.37873,17
34,32,40,1,7.286859,13
35,32,40,1,47.560649,15
36,56,94,1,45.656005,15
37,56,94,1,7.169524,13
38,88,166,1,4.815825,13
39,88,166,1,38.198842,15
40,88,166,1,828.922141,17
41,104,202,1,175.136184,15
42,104,202,1,289.021574,17
43,120,238,1,1344.967698,17
44,120,238,1,47.5344,15
45,120,238,1,468.932617,17
46,56,96,1,346.684747,16
47,56,96,1,1665.925622,18
48,88,168,1,3240.38248,18
49,88,168,1,2391.824936,18
50,88,168,0
51,88,168,0
52,104,204,0
53,104,204,1,3552.265342,18
54,104,204,1,479.57056,16
55,120,240,1,428.637179,16
56,120,240,1,2400.234462,18
57,120,240,0
58,37,47,1,9.963876,14
59,37,47,1,58.334372,16
60,64,110,1,61.190995,16
61,64,110,1,7.270766,14
62,100,194,1,98.484242,16
63,118,236,1,152.165831,16
64,118,236,1,573.047883,18
65,136,278,1,479.440386,18
66,136,278,1,69.43555,16
67,64,112,1,1511.369609,19
68,64,112,0
69,100,196,1,868.749646,17
70,100,196,0
71,118,238,0
72,118,238,0
73,136,280,0
74,136,280,1,6300.364861,19
75,136,280,1,479.920418,17
