Id,Solve,Time,Size
1,1,16.5,15.0
2,1,6.76,9.0
3,1,228.18,32.0
4,1,119.78,15.0
5,0,,
6,0,,
7,0,,
8,0,,
9,0,,
11,0,,
12,1,266.22,34.0
13,0,,
14,0,,
15,0,,
16,1,7.74,10.0
17,1,25.2,16.0
18,1,164.02,16.0
19,1,1350.56,22.0
20,0,,
21,0,,
22,0,,
23,0,,
24,0,,
25,0,,
26,0,,
27,1,287.56,36.0
28,0,,
29,0,,
30,0,,
31,0,,
32,0,,
33,0,,
34,1,21.26,17.0
35,1,54.72,23.0
36,1,1286.26,23.0
37,1,165.74,17.0
38,0,,
39,0,,
40,0,,
41,0,,
42,0,,
43,0,,
44,0,,
45,0,,
46,1,308.38,36.0
47,1,319.4,43.0
48,0,,
49,0,,
50,0,,
51,0,,
52,0,,
53,0,,
54,0,,
55,0,,
56,0,,
57,0,,
58,1,22.42,18.0
59,1,48.88,24.0
60,1,1457.8,24.0
61,1,233.9,18.0
62,0,,
63,0,,
64,0,,
65,0,,
66,0,,
67,0,,
68,0,,
69,0,,
70,0,,
71,0,,
72,0,,
73,0,,
74,0,,
75,0,,
