Id,Solve,Time,Size
1,1,0.04,11
2,1,0.04,23
3,1,0.08,35
4,1,0.12,47
5,1,0.18,59
6,1,0.42,71
7,1,0.48,83
8,1,0.48,95
9,1,1.06,107
10,1,0.94,119
11,1,1.84,131
12,1,2.2,143
13,1,2.4,155
14,1,3.84,167
15,1,6.18,179
16,1,4.48,191
17,1,7.7,203
18,1,8.1,215
19,1,15.5,227
20,1,17.4,239
21,1,31.04,251
22,1,35.0,263
23,1,29.46,275
24,1,54.58,287
25,1,69.4,299
26,1,69.76,311
27,1,103.76,323
28,1,118.12,335
29,1,160.9,347
30,1,181.74,359
31,1,264.38,371
32,1,260.4,383
33,1,219.0,395
34,1,393.54,407
35,1,462.18,419
36,1,545.68,431
37,1,687.68,443
38,1,834.94,455
39,1,776.24,467
40,1,955.58,479
