Id,Atoms,Actions,Solve,Time,Size
1,47,425,1,1.421144,9.0
2,47,425,1,0.5357609999999999,8.0
3,47,425,1,2.426805,10.0
4,47,425,1,109.017214,14.0
5,47,425,1,7.009213000000001,12.0
6,47,425,1,4.275334,11.0
7,47,425,1,49.178923,13.0
8,47,425,1,88.79742399999999,13.0
9,47,425,1,0.765363,9.0
10,47,425,1,3.554963,11.0
11,142,3200,0,,
12,142,3200,0,,
13,142,3200,0,,
14,142,3200,0,,
15,142,3200,0,,
16,142,3200,0,,
17,142,3200,0,,
18,142,3200,0,,
19,142,3200,0,,
20,142,3200,0,,
21,287,10575,0,,
22,287,10575,0,,
23,287,10575,0,,
24,287,10575,0,,
25,287,10575,0,,
26,287,10575,0,,
27,287,10575,0,,
28,287,10575,0,,
29,287,10575,0,,
30,287,10575,0,,
