Id,Atoms,Actions,Solve,Time,Size
1,11,4,1,0.254161,4.0
2,17,7,1,0.31385599999999997,6.0
3,26,13,1,0.31763800000000003,5.0
4,22,10,1,1.222208,8.0
5,30,19,1,0.9199930000000001,7.0
6,41,28,1,1.074544,7.0
7,27,13,1,1.367216,10.0
8,36,25,1,1.758516,9.0
9,45,37,1,2.3313669999999997,9.0
10,58,49,1,3.392868,9.0
11,32,16,1,4.132642,12.0
12,42,31,1,6.015967,11.0
13,52,46,1,7.692671000000001,11.0
14,62,61,1,9.455283999999999,11.0
15,77,76,1,8.059837,11.0
16,37,19,1,43.048516,14.0
17,48,37,1,80.255489,13.0
18,59,55,1,81.612024,13.0
19,70,73,1,118.54706599999999,13.0
20,81,91,1,158.005874,13.0
21,98,109,1,163.36037199999998,13.0
22,42,22,1,1040.96275,16.0
23,54,43,1,1075.500736,15.0
24,66,64,1,2244.752491,15.0
25,78,85,1,1814.066934,15.0
26,90,106,1,2688.116225,15.0
27,102,127,1,2472.582163,15.0
28,121,148,1,2615.358141,15.0
29,47,25,0,,
30,60,49,0,,
31,73,73,0,,
32,86,97,0,,
33,99,121,0,,
34,112,145,0,,
35,125,169,0,,
36,146,193,0,,
37,52,28,0,,
38,66,55,0,,
39,80,82,0,,
40,94,109,0,,
41,108,136,0,,
42,122,163,0,,
43,136,190,0,,
44,150,217,0,,
45,173,244,0,,
46,57,31,0,,
47,72,61,0,,
48,87,91,0,,
49,102,121,0,,
50,117,151,0,,
51,132,181,0,,
52,147,211,0,,
53,162,241,0,,
54,177,271,0,,
55,202,301,0,,
