Id,Atoms,Actions,Solve,Time,Size
1,11,28,1,0.438382,4
2,22,54,1,0.168044,4
3,31,80,1,0.198416,4
4,40,106,1,0.289082,4
5,49,132,1,0.33884699999999995,4
6,58,158,1,0.610997,4
7,67,184,1,0.711118,4
8,76,210,1,0.927858,4
9,85,236,1,1.811359,4
10,104,262,1,1.166251,4
11,114,288,1,2.6388439999999997,4
12,124,314,1,1.7002110000000001,4
13,21,66,1,0.27057,6
14,42,134,1,1.39317,6
15,61,202,1,0.984238,6
16,80,270,1,1.850682,6
17,99,338,1,7.351891,6
18,118,406,1,7.868099000000001,6
19,137,474,1,7.754909,6
20,156,542,1,11.345667,6
21,175,610,1,13.602151000000001,6
22,194,678,1,18.883415,6
23,213,746,1,22.279296,6
24,232,814,1,35.801658,6
25,35,120,1,1.491334,8
26,70,250,1,2.0921380000000003,8
27,103,380,1,5.998661,8
28,136,510,1,12.508018,8
29,169,640,1,23.648815,8
30,202,770,1,36.643725,8
31,235,900,1,78.19815,8
32,268,1030,1,91.458107,8
33,301,1160,1,172.005689,8
34,334,1290,1,125.630059,8
35,367,1420,1,180.197685,8
36,400,1550,1,180.751992,8
37,53,190,1,2.42863,10
38,106,402,1,6.838325,10
39,157,614,1,25.763978,10
40,208,826,1,66.13426899999999,10
41,259,1038,1,103.496988,10
42,310,1250,1,178.64199,10
43,361,1462,1,278.957956,10
44,412,1674,1,327.87143599999996,10
45,463,1886,1,566.087126,10
46,514,2098,1,537.429966,10
47,565,2310,1,1059.2296210000002,10
48,616,2522,1,1011.323985,10
49,75,276,1,11.972218,12
50,150,590,1,39.172562,12
51,223,904,1,181.113842,12
52,296,1218,1,183.14213,12
53,369,1532,1,387.506434,12
54,442,1846,1,693.288288,12
55,515,2160,1,931.3825410000001,12
56,588,2474,1,1439.796042,12
57,661,2788,1,1545.812055,12
58,734,3102,1,1844.7409899999998,12
59,807,3416,1,2124.605896,12
60,880,3730,1,2660.3554280000003,12
