Id,Solve,Time,Size
1,1,0.04,21
2,1,0.02,6
3,1,0.08,29
4,1,0.18,61
5,1,0.16,49
6,1,0.12,29
7,1,0.04,20
8,1,0.0,6
9,1,0.18,50
10,1,0.36,104
11,1,0.02,7
12,1,0.18,70
13,1,0.22,80
14,1,0.1,42
15,1,0.48,155
16,1,0.04,14
17,1,0.38,129
18,1,0.28,97
19,1,0.36,130
20,1,0.42,151
21,1,0.14,55
22,1,0.32,120
23,1,0.56,179
24,1,0.62,191
25,1,0.5,186
26,1,0.22,84
27,1,0.22,73
28,1,0.78,235
29,1,0.12,44
30,1,1.04,315
31,1,0.14,41
32,1,1.74,495
33,1,0.94,276
34,1,0.72,250
35,1,2.1,395
36,1,0.2,83
37,1,1.6,436
38,1,0.78,285
39,1,0.48,153
40,1,3.94,792
