Id,Solve,Time,Size
1,1,0.0,4
2,1,0.0,6
3,1,0.0,5
4,1,0.02,8
5,1,0.02,7
6,1,0.04,7
7,1,0.02,10
8,1,0.02,9
9,1,0.04,9
10,1,0.0,9
11,1,0.06,12
12,1,0.06,11
13,1,0.02,11
14,1,0.04,11
15,1,0.02,11
16,1,0.04,14
17,1,0.06,13
18,1,0.04,13
19,1,0.02,13
20,1,0.08,13
21,1,0.04,13
22,1,0.06,16
23,1,0.04,15
24,1,0.04,15
25,1,0.04,15
26,1,0.04,15
27,1,0.08,15
28,1,0.12,15
29,1,0.06,18
30,1,0.06,17
31,1,0.1,17
32,1,0.06,17
33,1,0.1,17
34,1,0.06,17
35,1,0.06,17
36,1,0.08,17
37,1,0.06,20
38,1,0.06,19
39,1,0.1,19
40,1,0.12,19
41,1,0.06,19
42,1,0.12,19
43,1,0.14,19
44,1,0.14,19
45,1,0.1,19
46,1,0.06,22
47,1,0.08,21
48,1,0.12,21
49,1,0.14,21
50,1,0.14,21
51,1,0.16,21
52,1,0.1,21
53,1,0.16,21
54,1,0.16,21
55,1,0.12,21
