Id,Solve,Time,Size
1,1,0.0,4.0
2,1,0.0,5.0
3,1,0.0,6.0
4,1,0.02,7.0
5,1,0.02,8.0
6,1,0.02,9.0
7,1,0.0,10.0
8,1,0.02,11.0
9,1,0.02,12.0
10,1,0.02,13.0
11,0,,
12,1,0.02,5.0
13,1,0.0,13.0
14,1,0.02,9.0
15,0,,
16,0,,
17,1,0.06,18.0
18,1,0.02,13.0
19,0,,
20,0,,
31,1,0.0,5.0
32,1,0.02,12.0
33,0,,
34,0,,
35,0,,
36,0,,
37,1,0.08,24.0
38,1,0.06,20.0
39,0,,
40,0,,
41,1,0.0,5.0
42,1,0.06,8.0
43,1,24.4,10.0
44,1,0.08,22.0
45,0,,
46,1,0.08,14.0
47,1,16.82,21.0
48,1,0.12,27.0
49,1,0.08,23.0
50,0,,
51,1,0.02,4.0
52,1,0.04,8.0
53,1,0.0,8.0
54,1,0.08,20.0
55,1,0.06,21.0
56,0,,
57,0,,
58,1,0.24,26.0
59,1,0.16,29.0
60,1,0.28,42.0
61,1,0.0,7.0
62,1,0.02,9.0
63,1,0.06,17.0
64,1,0.08,23.0
65,1,0.1,14.0
66,0,,
67,0,,
68,1,0.1,30.0
69,1,0.22,27.0
70,1,0.32,32.0
71,1,0.0,4.0
72,1,0.02,8.0
73,1,0.06,13.0
74,1,0.06,18.0
75,1,0.04,14.0
76,1,0.16,20.0
77,1,0.12,25.0
78,1,0.04,12.0
79,0,,
80,1,0.12,29.0
81,1,0.02,5.0
82,1,0.02,8.0
83,0,,
84,1,0.14,17.0
85,1,0.1,22.0
86,1,0.12,24.0
87,1,0.16,25.0
88,1,0.2,38.0
89,1,0.16,23.0
90,1,0.26,26.0
91,1,0.04,12.0
92,1,0.06,15.0
93,1,0.08,18.0
94,0,,
95,0,,
96,1,0.3,22.0
97,1,0.12,36.0
98,1,0.36,94.0
99,0,,
100,0,,
101,1,0.02,4.0
102,1,0.02,7.0
103,1,0.12,14.0
104,1,0.1,21.0
105,1,0.14,26.0
106,0,,
107,1,0.18,32.0
108,1,0.48,30.0
109,0,,
110,1,0.32,43.0
