Id,Solve,Time,Size
1,1,0.0,4.0
2,1,0.0,4.0
3,1,0.02,4.0
4,1,0.0,4.0
5,1,0.0,4.0
6,1,0.0,4.0
7,1,0.02,4.0
8,1,0.0,4.0
9,1,0.04,4.0
10,1,0.02,4.0
11,1,0.02,4.0
12,1,0.02,4.0
13,1,0.04,6.0
14,1,0.0,6.0
15,1,0.2,6.0
16,1,2.82,6.0
17,1,67.12,6.0
18,1,1495.86,6.0
19,0,,
20,0,,
21,0,,
22,0,,
23,0,,
24,0,,
25,1,0.04,8.0
26,1,0.02,8.0
27,1,0.64,8.0
28,1,23.54,8.0
29,1,1044.62,8.0
30,0,,
31,0,,
32,0,,
33,0,,
34,0,,
35,0,,
36,0,,
37,1,0.06,10.0
38,1,0.12,10.0
39,1,3.14,10.0
40,1,327.42,10.0
41,0,,
42,0,,
43,0,,
44,0,,
45,0,,
46,0,,
47,0,,
48,0,,
49,1,0.06,12.0
50,1,0.2,12.0
51,1,12.5,12.0
52,1,1319.6,12.0
53,0,,
54,0,,
55,0,,
56,0,,
57,0,,
58,0,,
59,0,,
60,0,,
