Id,Atoms,Actions,Solve,Time,Size
1,21,33,0,,
2,17,41,1,0.176748,6.0
3,29,53,0,,
4,53,89,0,,
5,47,83,0,,
6,24,40,0,,
7,20,36,1,41.905001,17.0
8,22,54,1,0.027857999999999997,6.0
9,42,74,0,,
10,74,122,0,,
11,17,37,1,0.030654,7.0
12,47,87,0,,
13,53,93,0,,
14,49,109,0,,
15,91,171,0,,
16,22,46,1,1.4838040000000001,13.0
17,64,112,0,,
18,68,140,0,,
19,72,144,0,,
20,94,190,0,,
21,35,63,0,,
22,67,123,0,,
23,95,179,0,,
24,103,215,0,,
25,101,213,0,,
26,44,76,0,,
27,56,120,0,,
28,102,198,0,,
29,80,208,0,,
30,142,302,0,,
31,53,125,0,,
32,167,275,0,,
33,115,223,0,,
34,129,273,0,,
35,175,355,0,,
36,64,144,0,,
37,148,268,0,,
38,136,296,0,,
39,134,334,0,,
40,256,496,0,,
