Domain (# inst),%solve,time,size
acrobatics(8:1-8),1.0,17.0125,127.5
beam-walk(11:1-11),1.0,25.84363636363636,1488.7272727272727
doors(15:1-15),0.8,1.4240000000000002,18.4
spiky-tireworld(11:1-11),0.09090909090909091,1655.6527272727274,29.363636363636363
tireworld(15:1-15),0.8,0.084,11.2
zenotravel(15:1-15),1.0,3.246666666666667,54.6
blocksworld-ipc08(15:1-15),1.0,0.11199999999999997,15.133333333333333
blocksworld-ipc08(15:16-30),1.0,0.46799999999999997,33.666666666666664
earth_observation(20:1-20),1.0,0.19,62.5
earth_observation(20:21-40),1.0,0.908,234.4
elevators(10:1-10),1.0,0.08600000000000001,29.1
elevators(5:11-15),1.0,0.5760000000000001,81.4
faults-ipc08(20:1-20),1.0,0.026000000000000002,9.8
faults-ipc08(20:21-40),1.0,0.06500000000000002,16.65
faults-ipc08(15:41-55),1.0,0.09333333333333334,20.4
first-responders-ipc08(30:1-30),0.7666666666666667,0.05133333333333334,10.666666666666666
first-responders-ipc08(40:31-70),0.675,1.0390000000000001,11.9
first-responders-ipc08(30:71-100),0.8333333333333334,0.09000000000000001,18.666666666666668
islands(30:1-30),0.7666666666666667,90.01866666666666,4.133333333333334
islands(30:31-60),0.26666666666666666,49.29533333333334,2.933333333333333
miner(30:1-30),0.3333333333333333,1333.0606666666665,12.733333333333333
miner(20:31-50),0.05,1751.315,11.65
tireworld-truck(24:1-24),0.375,1225.6183333333333,9.791666666666666
tireworld-truck(25:25-49),0.28,1404.9056000000003,15.52
tireworld-truck(25:50-74),0.16,1594.1856,12.52
triangle-tireworld(20:1-20),1.0,3.6740000000000004,125.0
triangle-tireworld(20:21-40),1.0,312.669,365.0
