Domain (# inst),#at,#acts,%solve,time,size
acrobatics(8:1-8),67.5,623.5,0.375,3915.3493523750003,16.5
beam-walk(11:1-11),746.3636363636364,2231.090909090909,0.18181818181818182,3924.1569097272727,19.272727272727273
doors(15:1-15),48.0,69.0,0.6,2545.5546580666664,15.933333333333334
spiky-tireworld(11:1-11),243.45454545454547,462.54545454545456,0.18181818181818182,4449.502824727272,21.636363636363637
tireworld(15:1-15),63.93333333333333,304.0,0.8,604.3360467333334,14.6
zenotravel(15:1-15),377.3333333333333,8424.0,0.3333333333333333,230.53453426666667,9.066666666666666
blocksworld-ipc08(15:1-15),78.66666666666667,1350.0,0.6666666666666666,1577.2238924000003,12.4
blocksworld-ipc08(15:16-30),238.66666666666666,8116.666666666667,0.0,1930.191845466667,11.0
earth_observation(20:1-20),46.3,87.7,0.25,4588.53924115,18.05
earth_observation(20:21-40),110.1,224.3,0.0,5884.90739015,21.9
elevators(10:1-10),64.0,58.8,0.6,1959.4109665,17.4
elevators(5:11-15),123.0,116.4,0.0,5443.0333596,19.4
faults-ipc08(20:1-20),43.65,35.5,1.0,23.330556350000002,9.8
faults-ipc08(20:21-40),84.55,92.5,0.4,8229.9177565,14.95
faults-ipc08(15:41-55),129.6,174.0,0.0,13819.699475333333,14.666666666666666
first-responders-ipc08(30:1-30),83.0,567.0666666666667,0.6,3238.7804035999998,38.666666666666664
first-responders-ipc08(40:31-70),68.9,243.45,0.375,3000.705583975,46.4
first-responders-ipc08(30:71-100),167.83333333333334,1078.8333333333333,0.3333333333333333,7729.803927233332,23.6
islands(30:1-30),100.8,333.4,1.0,0.4956203666666666,5.6
islands(30:31-60),388.96666666666664,1588.6,1.0,85.69014606666666,10.4
miner(30:1-30),598.2666666666667,1230.8666666666666,1.0,162.79161789999998,19.1
miner(20:31-50),1445.6,2993.75,0.8,1130.38894165,22.6
tireworld-truck(24:1-24),64.08333333333333,111.75,1.0,60.938769,11.708333333333334
tireworld-truck(25:25-49),80.8,150.4,0.96,1456.49020732,15.92
tireworld-truck(25:50-74),101.68,198.72,0.68,2729.83987356,17.28
triangle-tireworld(20:1-20),669.5,1406.0,0.1,5110.786480150001,19.1
triangle-tireworld(20:21-40),4129.5,9006.0,0.0,1268.61520195,14.75
