Domain (# inst),#at,#acts,%solve,time,size
acrobatics(8:1-8),67.5,623.5,0.375,8.099243666666668,9.333333333333334
beam-walk(11:1-11),746.3636363636364,2231.090909090909,0.18181818181818182,13.236719999999998,12.0
doors(15:1-15),48.0,69.0,0.6,493.93710999999996,13.0
spiky-tireworld(11:1-11),243.45454545454547,462.54545454545456,0.18181818181818182,2776.7574895,23.0
tireworld(15:1-15),63.93333333333333,304.0,0.8,3.834281916666667,5.583333333333333
zenotravel(15:1-15),377.3333333333333,8424.0,0.3333333333333333,244.78056,12.8
blocksworld-ipc08(15:1-15),78.66666666666667,1350.0,0.6666666666666666,49.82963289999999,11.0
blocksworld-ipc08(15:16-30),238.66666666666666,8116.666666666667,0.0,,
earth_observation(20:1-20),46.3,87.7,0.25,13.090012000000002,9.8
earth_observation(20:21-40),110.1,224.3,0.0,,
elevators(10:1-10),64.0,58.8,0.6,468.82853833333337,14.666666666666666
elevators(5:11-15),123.0,116.4,0.0,,
faults-ipc08(20:1-20),43.65,35.5,1.0,26.48888685,9.8
faults-ipc08(20:21-40),84.55,92.5,0.4,1764.3374764999999,14.875
faults-ipc08(15:41-55),129.6,174.0,0.0,,
first-responders-ipc08(30:1-30),83.0,567.0666666666667,0.6,824.5734286666666,9.222222222222221
first-responders-ipc08(40:31-70),68.9,243.45,0.375,1068.9365101333333,10.066666666666666
first-responders-ipc08(30:71-100),167.83333333333334,1078.8333333333333,0.3333333333333333,350.4279545,10.4
islands(30:1-30),100.8,333.4,1.0,7.425594866666668,5.6
islands(30:31-60),388.96666666666664,1588.6,1.0,567.8444792666667,10.4
miner(30:1-30),598.2666666666667,1230.8666666666666,1.0,322.2530598666666,19.1
miner(20:31-50),1445.6,2993.75,0.8,1419.2703993750001,22.1875
tireworld-truck(24:1-24),64.08333333333333,111.75,1.0,64.61460120833333,11.708333333333334
tireworld-truck(25:25-49),80.8,150.4,0.96,1290.3275345416666,15.833333333333334
tireworld-truck(25:50-74),101.68,198.72,0.68,1045.745081764706,16.705882352941178
triangle-tireworld(20:1-20),669.5,1406.0,0.1,28.926966999999998,12.0
triangle-tireworld(20:21-40),4129.5,9006.0,0.0,,
